/home/thiagordp/PycharmProjects/untitled/venv/bin/python /run/media/thiagordp/Arquivos/Studies/Msc/Subjects/2019-1B/ITA/Assignments/Q7/test_file.py
INSERTION_SORT,N=1
T0, 2.86102294921875e-06
T1, 1.1920928955078125e-06
T2, 1.1920928955078125e-06
T3, 9.5367431640625e-07
T4, 9.5367431640625e-07
MERGE_SORT,N=1
T0, 4.76837158203125e-06
T1, 1.6689300537109375e-06
T2, 9.5367431640625e-07
T3, 2.1457672119140625e-06
T4, 1.1920928955078125e-06
RADIX_SORT,N=1
T0, 0.00021266937255859375
T1, 0.00017261505126953125
T2, 0.0001609325408935547
T3, 0.0002536773681640625
T4, 0.00020074844360351562
BUCKET_SORT,N=1
T0, 2.3603439331054688e-05
T1, 1.811981201171875e-05
T2, 7.152557373046875e-06
T3, 6.4373016357421875e-06
T4, 4.0531158447265625e-06
INSERTION_SORT,N=10
T0, 1.5497207641601562e-05
T1, 7.867813110351562e-06
T2, 6.9141387939453125e-06
T3, 1.1920928955078125e-05
T4, 6.67572021484375e-06
MERGE_SORT,N=10
T0, 7.677078247070312e-05
T1, 0.00019073486328125
T2, 3.933906555175781e-05
T3, 3.814697265625e-05
T4, 3.695487976074219e-05
RADIX_SORT,N=10
T0, 0.0003426074981689453
T1, 0.00035762786865234375
T2, 0.00032901763916015625
T3, 0.0003268718719482422
T4, 0.0003514289855957031
BUCKET_SORT,N=10
T0, 5.078315734863281e-05
T1, 4.9591064453125e-05
T2, 4.100799560546875e-05
T3, 3.9577484130859375e-05
T4, 4.3392181396484375e-05
INSERTION_SORT,N=20
T0, 3.218650817871094e-05
T1, 4.2438507080078125e-05
T2, 2.7418136596679688e-05
T3, 2.2411346435546875e-05
T4, 2.1219253540039062e-05
MERGE_SORT,N=20
T0, 9.083747863769531e-05
T1, 8.487701416015625e-05
T2, 8.344650268554688e-05
T3, 8.320808410644531e-05
T4, 9.012222290039062e-05
RADIX_SORT,N=20
T0, 0.0005474090576171875
T1, 0.0005252361297607422
T2, 0.0005755424499511719
T3, 0.0005981922149658203
T4, 0.0005459785461425781
BUCKET_SORT,N=20
T0, 8.678436279296875e-05
T1, 7.581710815429688e-05
T2, 7.104873657226562e-05
T3, 9.965896606445312e-05
T4, 7.891654968261719e-05
INSERTION_SORT,N=100
T0, 0.0006971359252929688
T1, 0.0006887912750244141
T2, 0.0006129741668701172
T3, 0.0005342960357666016
T4, 0.0005373954772949219
MERGE_SORT,N=100
T0, 0.0005340576171875
T1, 0.0005104541778564453
T2, 0.0004956722259521484
T3, 0.0005135536193847656
T4, 0.0005035400390625
RADIX_SORT,N=100
T0, 0.0019767284393310547
T1, 0.0016672611236572266
T2, 0.0017573833465576172
T3, 0.0017108917236328125
T4, 0.0028378963470458984
BUCKET_SORT,N=100
T0, 0.0007610321044921875
T1, 0.0002503395080566406
T2, 0.00023651123046875
T3, 0.0002551078796386719
T4, 0.0002536773681640625
INSERTION_SORT,N=1000
T0, 0.032175540924072266
T1, 0.03300738334655762
T2, 0.033518075942993164
T3, 0.032230377197265625
T4, 0.033007144927978516
MERGE_SORT,N=1000
T0, 0.0039975643157958984
T1, 0.0038270950317382812
T2, 0.004368782043457031
T3, 0.003904104232788086
T4, 0.003841876983642578
RADIX_SORT,N=1000
T0, 0.011639595031738281
T1, 0.01180410385131836
T2, 0.011590242385864258
T3, 0.011686563491821289
T4, 0.011941194534301758
BUCKET_SORT,N=1000
T0, 0.0021140575408935547
T1, 0.0020563602447509766
T2, 0.0020284652709960938
T3, 0.0020241737365722656
T4, 0.0020804405212402344
INSERTION_SORT,N=100000
T0, 422.5144045352936
T1, 433.56480836868286
T2, 435.75375413894653
T3, 413.2687406539917
T4, 409.5570640563965
MERGE_SORT,N=100000
T0, 0.762382984161377
T1, 0.8473315238952637
T2, 0.8902852535247803
T3, 0.6495139598846436
T4, 0.6322021484375
RADIX_SORT,N=100000
T0, 1.4970152378082275
T1, 1.733726978302002
T2, 1.2691271305084229
T3, 1.2463140487670898
T4, 1.402151346206665
BUCKET_SORT,N=100000
T0, 0.28693056106567383
T1, 0.27613258361816406
T2, 0.29009151458740234
T3, 0.27170801162719727
T4, 0.3136913776397705

Process finished with exit code 0
